stop_id,stop_name,stop_lat,stop_lon,stop_timezone
2361,"Via dei Mille, 2 - Torano Castello",39.510161,16.175036,Europe/Rome
2362,"Via VI Abramo Cariati, 3 - Torano Castello",39.510507,16.180051,Europe/Rome
2330,"via Nazionale, 12 - Torano Castello",39.510976,16.213205,Europe/Rome
2261,"Via San Nicola, 58B - Torano Castello",39.510371,16.179914,Europe/Rome
2260,"Via Fratelli Bandiera, 74 - Torano Castello",39.510094,16.175062,Europe/Rome
2355,Strada Provinciale 108 - Cervicati,39.537588,16.155321,Europe/Rome
2343,Strada Provinciale 108 - Cervicati,39.542179,16.152647,Europe/Rome
2346,Strada Provinciale 108 - Cervicati,39.546695,16.141125,Europe/Rome
2321,"Contrada Castagnelle, 102 - Cervicati",39.542446,16.124702,Europe/Rome
2172,"Piazza Guzolini, 21-22 - Cervicati",39.542461,16.127428,Europe/Rome
2322,"Via San Rocco, 2 - Cervicati",39.542356,16.124803,Europe/Rome
2320,Strada Provinciale 94 - Mongrassano,39.541689,16.116555,Europe/Rome
2107,"Contrada Castagnelle, 116 - Cervicati",39.542219,16.124621,Europe/Rome
2193,Strada Provinciale 108 - Cervicati,39.546633,16.140859,Europe/Rome
2184,Strada Provinciale 108 - Cervicati,39.541642,16.152767,Europe/Rome
2226,Contrada Martorano - Cervicati,39.537621,16.155228,Europe/Rome
2225,"Via Dante Alighieri, 68 - San Marco Argentano",39.554257,16.126463,Europe/Rome
2338,"Via XX Settembre, 76 - San Marco Argentano",39.556678,16.121581,Europe/Rome
2376,"Strada Provinciale 270, 12 - San Marco Argentano",39.597025,16.197002,Europe/Rome
2377,"Via Alcide De Gasperi, 12 - San Marco Argentano",39.605608,16.206756,Europe/Rome
2247,"Piazza della Repubblica, 44-101 - Roggiano Gravina",39.614985,16.158229,Europe/Rome
2378,"Via Alcide De Gasperi, 12 - San Marco Argentano",39.605392,16.206379,Europe/Rome
2398,"Contrada Cimino, 82 - San Marco Argentano",39.578919,16.193236,Europe/Rome
2399,"Contrada Cimino, 59 - San Marco Argentano",39.578391,16.196973,Europe/Rome
2188,"Contrada Cimino, 82 - San Marco Argentano",39.579022,16.193162,Europe/Rome
2324,"Contrada Cimino, 115 - San Marco Argentano",39.584725,16.184725,Europe/Rome
2268,"Via Madre Teresa di Calcutta, 57 - San Marco Argentano",39.605555,16.206862,Europe/Rome
2170,"Strada Provinciale 270, 12 - San Marco Argentano",39.596993,16.197046,Europe/Rome
2391,Strada Provinciale 119 - San Marco Argentano,39.557430,16.141615,Europe/Rome
2392,Strada Provinciale 119 - San Marco Argentano,39.560953,16.148834,Europe/Rome
2393,"Contrada San Andrea, 28 - San Marco Argentano",39.564999,16.152339,Europe/Rome
2394,"Strada Provinciale 119, 81 - San Marco Argentano",39.566890,16.158272,Europe/Rome
2395,"Strada Provinciale 119, 106 - San Marco Argentano",39.572076,16.163383,Europe/Rome
2396,"Contrada Iotta, 60 - San Marco Argentano",39.576085,16.170091,Europe/Rome
2397,"Contrada Iotta, 13 - San Marco Argentano",39.578664,16.174384,Europe/Rome
2379,"Via Alcide De Gasperi, 46 - San Marco Argentano",39.610941,16.210391,Europe/Rome
2380,"Strada Provinciale 270, 19 - San Marco Argentano",39.620983,16.221265,Europe/Rome
2381,Contrada Cona - Tarsia,39.622406,16.225033,Europe/Rome
2382,"Strada Provinciale 270, 8 - Tarsia",39.635789,16.232773,Europe/Rome
2383,Strada Provinciale 270 - Tarsia,39.647279,16.243626,Europe/Rome
2143,Strada Provinciale 176 - Tarsia,39.655217,16.253648,Europe/Rome
2282,Strada Provinciale 270 - Tarsia,39.647419,16.243634,Europe/Rome
2103,"Strada Provinciale 270, 8 - Tarsia",39.635744,16.232807,Europe/Rome
2272,Svincolo Caselle A2 Mediterranea - Tarsia,39.624873,16.224843,Europe/Rome
2185,"Strada Provinciale 270, 19 - San Marco Argentano",39.620785,16.221195,Europe/Rome
2195,"Via Alcide De Gasperi, 46 - San Marco Argentano",39.610989,16.210509,Europe/Rome
2117,"Contrada Iotta, 8 - San Marco Argentano",39.578818,16.174485,Europe/Rome
2189,"Contrada Iotta, 60 - San Marco Argentano",39.576216,16.170220,Europe/Rome
2136,"Strada Provinciale 119, 106 - San Marco Argentano",39.572234,16.163540,Europe/Rome
2186,"Strada Provinciale 119, 81 - San Marco Argentano",39.568500,16.158197,Europe/Rome
2203,"Strada Provinciale 119, 81 - San Marco Argentano",39.565130,16.152364,Europe/Rome
2207,Strada Provinciale 119 - San Marco Argentano,39.561078,16.148842,Europe/Rome
2144,Strada Provinciale 119 - San Marco Argentano,39.557539,16.141740,Europe/Rome
26000,Località   Mailungo - San Marco Argentano,39.579596,16.201315,Europe/Rome
26001,Contrada  Cimino - San Marco Argentano,39.579692,16.226111,Europe/Rome
26002,Strada statale 19 - San Marco Argentano,39.579942,16.240643,Europe/Rome
26003,Strada statale 19 - Bisignano,39.564988,16.240643,Europe/Rome
2177,"Strada Statale 19 delle Calabrie, 50 - Bisignano",39.565014,16.235501,Europe/Rome
2137,"Strada Statale 19 delle Calabrie, 9 - San Marco Argentano",39.580136,16.240781,Europe/Rome
2209,"Contrada Cimino, 11 - San Marco Argentano",39.579749,16.226026,Europe/Rome
2116,"Località  Mailungo, 64 - San Marco Argentano",39.579787,16.201332,Europe/Rome
2141,"Contrada Cimino, 55 - San Marco Argentano",39.578566,16.196984,Europe/Rome
26004,Strada statale 19 - Tarsia,39.583965,16.243429,Europe/Rome
2276,"Strada Statale 19, 9 - San Marco Argentano",39.584387,16.243334,Europe/Rome
2256,"Via Don E. Occhiuzzi, 19 - San Martino di Finita",39.490596,16.107956,Europe/Rome
2257,"Via Calvario, 54 - San Martino di Finita",39.477924,16.141382,Europe/Rome
26005,Corso  Umberto I - San Martino di Finita,39.490526,16.108230,Europe/Rome
2332,"Contrada Sant'Atanasio, 1 - Cerzeto",39.495792,16.111697,Europe/Rome
2215,"Ghiandaro, 69 - San Marco Argentano",39.574144,16.189572,Europe/Rome
2231,"Ghiandaro, 80 - San Marco Argentano",39.570232,16.185091,Europe/Rome
2221,"Ghiandaro, 207 - San Marco Argentano",39.564269,16.178754,Europe/Rome
2120,"Ghiandaro, 245 - San Marco Argentano",39.560776,16.173593,Europe/Rome
2287,"Ghiandaro, 180 - Cervicati",39.564379,16.182831,Europe/Rome
2208,"Contrada Marinello, 98 - Cervicati",39.565684,16.190368,Europe/Rome
2192,"Contrada Marinello, 132 - Cervicati",39.565283,16.195039,Europe/Rome
2233,"Contrada Marinello, 11 - Cervicati",39.565420,16.199002,Europe/Rome
2218,"Contrada Marinello, 80 - Cervicati",39.565030,16.206545,Europe/Rome
2281,"Contrada Marinello, 46 - Cervicati",39.564945,16.211669,Europe/Rome
2219,"Contrada Marinello, 43 - Cervicati",39.566485,16.216114,Europe/Rome
26008,Contrada  Marinello - Cervicati,39.565051,16.206513,Europe/Rome
